Ethnicity,Year,Region,Gender,Age,Socio-economic classification,Household income,Value
All,2013/14,England and Wales,All,16+,All,All,17.0
All,2013/14,England and Wales,All,16-24,All,All,25.1
All,2013/14,England and Wales,All,25-34,All,All,21.0
All,2013/14,England and Wales,All,35-44,All,All,19.8
All,2013/14,England and Wales,All,45-54,All,All,17.4
All,2013/14,England and Wales,All,55-64,All,All,13.5
All,2013/14,England and Wales,All,65-74,All,All,10.2
All,2013/14,England and Wales,All,75+,All,All,6.0
All,2013/14,England and Wales,Male,16+,All,All,17.4
All,2013/14,England and Wales,Female,16+,All,All,16.7
All,2013/14,England and Wales,All,16+,Managerial and professional occupations,All,17.2
All,2013/14,England and Wales,All,16+,Intermediate occupations,All,16.3
All,2013/14,England and Wales,All,16+,Routine and manual occupations,All,16.1
All,2013/14,England and Wales,All,16+,Never worked and long-term unemployed,All,17.6
All,2013/14,England and Wales,All,16+,Full time students,All,23.6
All,2013/14,England and Wales,All,16+,Not classified,All,11.3
All,2013/14,England and Wales,All,16+,All,"Less than £10,000",16.5
All,2013/14,England and Wales,All,16+,All,"£10,000 to less than £20,000",15.8
All,2013/14,England and Wales,All,16+,All,"£20,000 to less than £30,000",16.5
All,2013/14,England and Wales,All,16+,All,"£30,000 to less than £40,000",17.6
All,2013/14,England and Wales,All,16+,All,"£40,000 to less than £50,000",18.2
All,2013/14,England and Wales,All,16+,All,"£50,000 or more",19.2
All,2013/14,England and Wales,All,16+,All,No income stated/Not enough information provided ,15.9
Asian,2013/14,England and Wales,All,16+,All,All,18.6
Black,2013/14,England and Wales,All,16+,All,All,16.9
White British,2013/14,England and Wales,All,16+,All,All,16.7
White Irish,2013/14,England and Wales,All,16+,All,All,20.6
Gypsy or Irish Traveller,2013/14,England and Wales,All,16+,All,All,?
Any other White background,2013/14,England and Wales,All,16+,All,All,17.2
Mixed White and Black Caribbean,2013/14,England and Wales,All,16+,All,All,29.0
Mixed White and Black African,2013/14,England and Wales,All,16+,All,All,?
Mixed White and Asian,2013/14,England and Wales,All,16+,All,All,23.5
Any other Mixed/Multiple ethnic background,2013/14,England and Wales,All,16+,All,All,29.0
Indian,2013/14,England and Wales,All,16+,All,All,20.3
Pakistani,2013/14,England and Wales,All,16+,All,All,20.4
Bangladeshi,2013/14,England and Wales,All,16+,All,All,17.1
Chinese,2013/14,England and Wales,All,16+,All,All,14.6
Any other Asian background,2013/14,England and Wales,All,16+,All,All,15.2
Black African,2013/14,England and Wales,All,16+,All,All,16.0
Black Caribbean,2013/14,England and Wales,All,16+,All,All,17.3
Any other Black background,2013/14,England and Wales,All,16+,All,All,?
Arab,2013/14,England and Wales,All,16+,All,All,9.9
Any other ethnic group,2013/14,England and Wales,All,16+,All,All,16.0
Mixed,2013/14,England and Wales,All,16+,All,All,27.2
Other ,2013/14,England and Wales,All,16+,All,All,13.8
White,2013/14,England and Wales,All,16+,All,All,16.8
All,2014/15,England and Wales,All,16+,All,All,15.9
All,2014/15,England and Wales,All,16-24,All,All,22.1
All,2014/15,England and Wales,All,25-34,All,All,20.5
All,2014/15,England and Wales,All,35-44,All,All,18.9
All,2014/15,England and Wales,All,45-54,All,All,16.8
All,2014/15,England and Wales,All,55-64,All,All,12.5
All,2014/15,England and Wales,All,65-74,All,All,9.0
All,2014/15,England and Wales,All,75+,All,All,5.9
All,2014/15,England and Wales,Male,16+,All,All,16.7
All,2014/15,England and Wales,Female,16+,All,All,15.3
All,2014/15,England and Wales,All,16+,Managerial and professional occupations,All,16.1
All,2014/15,England and Wales,All,16+,Intermediate occupations,All,15.2
All,2014/15,England and Wales,All,16+,Routine and manual occupations,All,15.5
All,2014/15,England and Wales,All,16+,Never worked and long-term unemployed,All,18.0
All,2014/15,England and Wales,All,16+,Full time students,All,18.9
All,2014/15,England and Wales,All,16+,Not classified,All,18.0
All,2014/15,England and Wales,All,16+,All,"Less than £10,000",16.8
All,2014/15,England and Wales,All,16+,All,"£10,000 to less than £20,000",13.6
All,2014/15,England and Wales,All,16+,All,"£20,000 to less than £30,000",14.9
All,2014/15,England and Wales,All,16+,All,"£30,000 to less than £40,000",17.5
All,2014/15,England and Wales,All,16+,All,"£40,000 to less than £50,000",16.7
All,2014/15,England and Wales,All,16+,All,"£50,000 or more",18.1
All,2014/15,England and Wales,All,16+,All,No income stated/Not enough information provided ,14.8
Asian,2014/15,England and Wales,All,16+,All,All,15.8
White British,2014/15,England and Wales,All,16+,All,All,15.5
White Irish,2014/15,England and Wales,All,16+,All,All,17.3
Gypsy or Irish Traveller,2014/15,England and Wales,All,16+,All,All,?
Any other White background,2014/15,England and Wales,All,16+,All,All,18.6
Mixed White and Black Caribbean,2014/15,England and Wales,All,16+,All,All,29.1
Mixed White and Black African,2014/15,England and Wales,All,16+,All,All,?
Mixed White and Asian,2014/15,England and Wales,All,16+,All,All,27.9
Any other Mixed/Multiple ethnic background,2014/15,England and Wales,All,16+,All,All,22.8
Indian,2014/15,England and Wales,All,16+,All,All,14.4
Pakistani,2014/15,England and Wales,All,16+,All,All,21.9
Bangladeshi,2014/15,England and Wales,All,16+,All,All,11.6
Chinese,2014/15,England and Wales,All,16+,All,All,11.4
Any other Asian background,2014/15,England and Wales,All,16+,All,All,13.9
Black African,2014/15,England and Wales,All,16+,All,All,18.7
Black Caribbean,2014/15,England and Wales,All,16+,All,All,14.7
Any other Black background,2014/15,England and Wales,All,16+,All,All,27.6
Arab,2014/15,England and Wales,All,16+,All,All,10.3
Any other ethnic group,2014/15,England and Wales,All,16+,All,All,17.5
Black,2014/15,England and Wales,All,16+,All,All,18.0
Mixed,2014/15,England and Wales,All,16+,All,All,27.9
Other ,2014/15,England and Wales,All,16+,All,All,14.8
White,2014/15,England and Wales,All,16+,All,All,15.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,All,14.7
White,"2014/15, 2015/16 and 2016/17",North East,All,16+,All,All,13.2
White,"2014/15, 2015/16 and 2016/17",Cleveland,All,16+,All,All,16.5
White,"2014/15, 2015/16 and 2016/17",Durham,All,16+,All,All,14.0
White,"2014/15, 2015/16 and 2016/17",Northumbria,All,16+,All,All,11.7
White,"2014/15, 2015/16 and 2016/17",North West,All,16+,All,All,13.3
White,"2014/15, 2015/16 and 2016/17",Cheshire,All,16+,All,All,10.9
White,"2014/15, 2015/16 and 2016/17",Cumbria,All,16+,All,All,11.7
White,"2014/15, 2015/16 and 2016/17",Greater Manchester,All,16+,All,All,14.4
White,"2014/15, 2015/16 and 2016/17",Lancashire,All,16+,All,All,15.8
White,"2014/15, 2015/16 and 2016/17",Merseyside,All,16+,All,All,11.3
White,"2014/15, 2015/16 and 2016/17",Yorkshire and the Humber,All,16+,All,All,14.9
White,"2014/15, 2015/16 and 2016/17",Humberside,All,16+,All,All,17.3
White,"2014/15, 2015/16 and 2016/17",North Yorkshire,All,16+,All,All,9.2
White,"2014/15, 2015/16 and 2016/17",South Yorkshire,All,16+,All,All,18.0
White,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,14.1
White,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,16.2
White,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,13.1
White,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,20.5
White,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,13.8
White,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,19.8
White,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,15.0
White,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,14.6
White,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,12.7
White,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,15.0
White,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,11.6
White,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,17.6
White,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,14.9
White,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,17.4
White,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,16.0
White,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,16.1
White,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,13.9
White,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,12.5
White,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,13.6
White,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,17.4
White,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,17.4
White,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,15.4
White,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,14.2
White,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,17.3
White,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,13.7
White,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,15.9
White,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,15.5
White,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,12.2
White,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,14.2
